facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,year,doy,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/2/2008 14:30,2008,154,SHALLAKE,TURB,Turbidity,Total,,23.3,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/2/2008 14:30,2008,154,SHALLAKE,SPEC-COND,Specific conductance,Total,,489,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/2/2008 14:30,2008,154,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,22.8,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/2/2008 14:30,2008,154,SHALLAKE,PH,pH,Total,,6.7,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/2/2008 14:30,2008,154,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,6,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/28/2008 14:15,2008,241,SHALLAKE,TURB,Turbidity,Total,,25.5,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/28/2008 14:15,2008,241,SHALLAKE,SPEC-COND,Specific conductance,Total,,572,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/28/2008 14:15,2008,241,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,24.6,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/28/2008 14:15,2008,241,SHALLAKE,PH,pH,Total,,9.1,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/28/2008 14:15,2008,241,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,11,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/16/2008 11:30,2008,290,SHALLAKE,SPEC-COND,Specific conductance,Total,,523,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/16/2008 11:30,2008,290,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,11.2,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/16/2008 11:30,2008,290,SHALLAKE,PH,pH,Total,,9.3,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/16/2008 11:30,2008,290,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,10.4,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/23/2009 10:45,2009,174,SHALLAKE,SPEC-COND,Specific conductance,Total,,407,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/23/2009 10:45,2009,174,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,28.4,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/23/2009 10:45,2009,174,SHALLAKE,PH,pH,Total,,9.9,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/23/2009 10:45,2009,174,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,5.4,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/23/2009 10:45,2009,174,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.22,m,TRUE,,,,Unknown,,Actual,SW,Water,,
