facilityID,siteID,name,sampleDate,year,projectCode,cas_rn,analyte,fraction,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22300010,Center Lake,07/17/18,2018,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,29,ug/l,TRUE,0.4,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,09/03/18,2018,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,79,ug/l,TRUE,0.4,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/28/19,2019,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,6.53,ug/l,TRUE,1.2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/22/19,2019,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,13.72,ug/l,TRUE,1.2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,09/03/19,2019,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,5.93,ug/l,TRUE,1.2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22740001,Five Island Lake,06/15/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,19.4,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,08/07/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,27.1,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/17/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,5.7,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/14/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,17.9,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/19/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,28.5,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/23/02,2002,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,9.8,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/20/02,2002,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,35.6,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/25/02,2002,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,50.8,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/22/03,2003,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,20.1,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
