X,LakeName,SiteID,LakeID,SampleID,SiteType,WaterDepth,TopDepth,BottomDepth,MCfrac,OM,bd,DryMassEq,LooseP,IronP,AlP,LabileOP,CalciumP,TP_ug
19,Center,1C,CE,CE1C,Deep,4.5,4,6,0.872870794,20.58823529,1.066241865,0.02515309,64.35591015,245.5215244,83.06431644,344.2441895,76.68967397,946.3220691
20,Center,1D,CE,CE1D,Deep,4.5,6,8,0.841336117,18.12865497,1.086884006,0.02497938,56.34647457,229.4392415,57.1478943,314.4270327,78.56203962,894.9007689
21,Center,1E,CE,CE1E,Deep,4.5,8,10,0.832704106,17.20733427,1.093178301,0.0237566,69.0965879,240.4068764,57.86071888,259.5553085,76.29336255,838.5790717
22,Center,1F,CE,CE1F,Deep,4.5,10,15,0.805951896,17.22689076,1.109684379,0.0242694,223.9445557,337.0757003,69.03517347,236.5371202,101.02337,NA
23,Center,1G,CE,CE1G,Deep,4.5,15,20,0.79376947,17.11983887,1.117548339,0.02575438,73.39528267,181.3283799,55.94449552,247.3958359,44.28256767,755.4025196
24,Center,2,CE,CE2,Littoral,4.4,0,10,0.874471937,20.19230769,1.065700292,0.0248239,64.45401408,NA,NA,NA,NA,947.5745482
25,Center,3,CE,CE3,Littoral,4.5,0,10,0.857749469,19.40298507,1.075909331,0.02508749,95.85454743,NA,NA,NA,NA,1004.883687
26,Center,4,CE,CE4,Littoral,2.8,0,10,0.780658874,13.75968992,1.131742067,0.02473704,68.51062213,NA,NA,NA,NA,823.4157794
27,Center,5,CE,CE5,Littoral,4.1,0,10,0.844507534,18.11797753,1.085011757,0.0254398,62.95253894,NA,NA,NA,NA,771.3937895
28,Center,6,CE,CE6,Littoral,4.2,0,10,0.84026465,19.08284024,1.086413902,0.02513678,55.42674917,NA,NA,NA,NA,733.2544722
29,Center,7,CE,CE7,Littoral,4.3,0,10,0.8781198,19.11262799,1.064586456,0.0254771,68.06112156,NA,NA,NA,NA,977.1216717
30,Center,8,CE,CE8,Littoral,4.1,0,10,0.864901871,18.58108108,1.072604029,0.02542582,66.79233944,NA,NA,NA,NA,965.1188653
31,Center,9,CE,CE9,Littoral,4,0,10,0.837473684,18.00518135,1.089334227,0.02543125,91.42295404,NA,NA,NA,NA,886.6356401
32,Center,10,CE,CE10,Littoral,3.9,0,10,0.83898669,17.6,1.088904873,0.0244076,70.25475672,NA,NA,NA,NA,922.2723814
33,Silver,1A,SI,SI1A,Deep,2.5,0,2,0.829686576,14.93055556,1.097887429,0.02500004,236.6796213,268.7995699,65.70246599,278.397122,33.98825395,1074.693824
34,Silver,1B,SI,SI1B,Deep,2.5,2,4,0.794123526,13.78640777,1.122620178,0.02524334,221.8208842,263.6834111,72.82790017,235.8111749,39.27709592,1075.093717
35,Silver,1C,SI,SI1C,Deep,2.5,4,6,0.761656858,12.91547958,1.146432991,0.02449724,235.0775026,215.9171809,73.02503284,191.0773586,56.08810579,843.3558116
36,Silver,1D,SI,SI1D,Deep,2.5,6,8,0.763806287,13.03956835,1.144684671,0.0244467,189.1461833,203.1971595,70.25036377,222.7998455,70.06988699,907.0674269
37,Silver,1E,SI,SI1E,Deep,2.5,8,10,0.752627324,12.58169935,1.153504053,0.0252348,188.430263,206.460919,70.33194529,175.5962023,67.54090451,867.6031433
38,Silver,1F,SI,SI1F,Deep,2.5,10,15,0.732506829,12.80439906,1.167588276,0.02634875,169.5431472,198.3727881,78.31897696,171.0580804,196.814696,904.4659032
39,Silver,1G,SI,SI1G,Deep,2.5,15,20,0.70681963,13.33333333,1.185343742,0.02457016,182.5588437,144.8912014,56.77709966,161.5651006,82.11848801,882.9508875
40,Silver,2,SI,SI2,Littoral,2.1,0,10,0.781570681,13.32694151,1.13186733,0.02537808,190.7256183,NA,NA,NA,NA,946.0076732
41,Silver,3,SI,SI3,Littoral,2.2,0,10,0.767053553,13.54895105,1.141460013,0.02440792,172.7000908,NA,NA,NA,NA,873.6606801
42,Silver,4,SI,SI4,Littoral,2,0,10,0.714493456,10.61120543,1.186313974,0.02463865,147.8977136,NA,NA,NA,NA,902.0120215
43,Silver,5,SI,SI5,Littoral,1.7,0,10,0.753062949,10.52181352,1.157370143,0.02557884,145.2665563,NA,NA,NA,NA,909.1592359
44,Silver,6,SI,SI6,Littoral,1.7,0,10,0.773858921,12.8440367,1.138031239,0.02625021,180.5318891,NA,NA,NA,NA,890.7141673
45,Silver,7,SI,SI7,Littoral,1.8,0,10,0.767386091,11.54639175,1.144975288,0.02458582,184.7711404,NA,NA,NA,NA,844.0513298
